"user.key";"datetime";"meter.reading";"diff"
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 23:53:55";553681;7
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 22:53:55";553674;300
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 09:53:59";553374;56
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 08:53:59";553318;141
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 07:53:59";553177;18
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 06:53:59";553159;14
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 05:53:57";553145;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 04:53:57";553145;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 03:53:57";553145;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 02:53:57";553144;7
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 01:53:59";553137;6
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"19/05/2017 00:53:59";553131;8
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 23:53:59";553123;41
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 22:53:59";553082;59
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 21:53:56";553023;90
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 20:53:56";552933;8
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 19:53:56";552925;3
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 18:53:56";552922;127
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 13:53:57";552795;12
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 12:53:57";552783;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"18/05/2017 11:53:57";552782;29
